0	2	4574
1	2	4997
2	2	5027
3	2	1877
4	2	2462
5	0	3240
5	1	4491
6	0	1275
6	1	4491
7	2	4131
8	0	3240
8	1	3807
9	2	2464
10	2	4845
11	2	3910
12	2	1732
13	0	472
13	1	3807
14	2	2772
15	0	3240
15	1	4131
16	2	4664
17	2	2537
18	2	280
19	2	1453
20	2	3241
21	2	313
22	2	4668
23	2	1504
24	2	4356
25	2	3320
26	2	1276
27	2	3430
28	2	2974
29	2	967
30	0	3240
30	1	1479
31	2	1742
32	0	4595
32	1	849
33	2	398
34	0	4739
34	1	4664
35	2	2261
36	0	1275
36	1	4664
37	2	99
38	0	1275
38	1	1245
39	2	3100
40	2	2502
41	2	274
42	2	3722
43	0	1756
43	1	4491
44	2	4369
45	2	4764
46	0	3240
46	1	1732
47	2	484
48	2	2931
49	0	3240
49	1	596
50	2	1390
51	0	1952
51	1	1245
52	0	727
52	1	3807
53	2	3183
54	2	906
55	2	3872
56	2	4513
57	0	3240
57	1	146
58	2	2581
59	0	2761
59	1	3807
60	2	2517
61	0	472
61	1	2598
62	0	472
62	1	1732
63	0	1275
63	1	596
64	2	2664
65	2	2953
66	2	712
67	0	3254
67	1	849
68	0	1990
68	1	4491
69	2	1237
70	2	3230
71	2	2753
72	2	4413
73	0	1275
73	1	1963
74	0	1275
74	1	3662
75	2	4266
76	2	2304
77	2	2180
78	0	4142
78	1	4491
79	0	4294
79	1	4491
80	2	4408
81	0	1275
81	1	2334
82	0	2761
82	1	4094
83	0	3855
83	1	4491
84	2	4245
85	0	2832
85	1	3807
86	0	5114
86	1	2464
87	0	4650
87	1	1245
88	0	1275
88	1	1504
89	2	1278
90	2	2539
91	0	3240
91	1	712
92	2	4011
93	2	2707
94	0	1091
94	1	3662
95	2	1368
96	0	3240
96	1	2587
97	0	727
97	1	4997
98	0	2761
98	1	2598
99	0	2761
99	1	3662
100	0	1091
100	1	4131
101	2	4486
102	2	2433
103	0	2449
103	1	4131
104	2	5117
105	2	1829
106	0	1071
106	1	3854
107	2	1654
108	2	677
109	0	1275
109	1	5144
110	2	3945
111	2	1540
112	2	2458
113	0	1789
113	1	1479
114	2	669
115	0	4142
115	1	4668
116	0	1241
116	1	579
117	0	727
117	1	146
118	0	2761
118	1	1877
119	2	888
120	2	2898
121	0	1952
121	1	3562
122	0	3240
122	1	384
123	0	1952
123	1	4668
124	2	3659
125	2	2762
126	2	494
127	0	5114
127	1	1877
128	2	1442
129	0	1275
129	1	1877
130	2	1036
131	2	1707
132	2	1469
133	0	1275
133	1	712
134	2	3547
135	0	3060
135	1	1245
136	0	3556
136	1	849
137	0	4030
137	1	4131
138	2	2102
139	0	1952
139	1	2681
140	2	3468
141	0	3240
141	1	3854
142	0	3240
142	1	4912
143	0	3855
143	1	4997
144	0	5114
144	1	5144
145	0	2832
145	1	4668
146	2	3098
147	2	1308
148	0	4739
148	1	1245
149	0	2303
149	1	4131
150	2	1666
151	0	1275
151	1	3242
152	0	1375
152	1	4582
153	0	2761
153	1	146
154	0	3240
154	1	4481
155	0	4650
155	1	4131
156	2	2547
157	0	1275
157	1	1732
158	2	707
159	2	1157
160	0	2940
160	1	3169
161	0	4739
161	1	4094
162	0	3437
162	1	1929
163	0	1756
163	1	849
164	0	1756
164	1	1479
165	0	1241
165	1	4094
166	0	5114
166	1	4094
167	2	2325
168	2	4556
169	2	4077
170	0	2838
170	1	849
171	0	4739
171	1	1504
172	2	2122
173	2	4608
174	0	1789
174	1	4094
175	0	2761
175	1	1120
176	0	1952
176	1	1120
177	0	4294
177	1	4094
178	0	4739
178	1	1963
179	2	2925
180	2	643
181	0	3437
181	1	3807
182	0	472
182	1	1207
183	0	3855
183	1	4481
184	2	2758
185	2	1885
186	0	2761
186	1	384
187	0	2761
187	1	4680
188	2	2678
189	0	727
189	1	1732
190	2	556
191	2	3013
192	0	472
192	1	2464
193	2	360
194	0	4142
194	1	146
195	0	3240
195	1	2236
196	2	3409
197	0	1756
197	1	1877
198	0	919
198	1	289
199	2	3200
200	0	472
200	1	4664
201	2	4086
202	2	1072
203	0	3855
203	1	4574
204	2	5173
205	0	3060
205	1	4491
206	0	2303
206	1	3169
207	0	3240
207	1	1383
208	0	1087
208	1	3807
209	0	4294
209	1	4131
210	0	2761
210	1	1207
211	2	591
212	2	3543
213	2	3299
214	2	4355
215	0	3240
215	1	1751
216	0	2761
216	1	1390
217	0	3579
217	1	1877
218	2	5
219	0	1275
219	1	2409
220	2	1937
221	2	323
222	0	5114
222	1	289
223	2	2272
224	0	919
224	1	967
225	0	3855
225	1	4131
226	2	225
227	0	4595
227	1	4131
228	0	3240
228	1	4582
229	0	5114
229	1	1113
230	0	3579
230	1	4997
231	0	2761
231	1	2334
232	0	1952
232	1	3144
233	0	2832
233	1	3562
234	0	3855
234	1	2598
235	0	1161
235	1	4997
236	0	472
236	1	3169
237	0	3225
237	1	4131
238	2	1044
239	0	1384
239	1	3807
240	0	1071
240	1	3807
241	2	2954
242	2	3491
243	2	3899
244	0	727
244	1	1877
245	2	1100
246	0	4739
246	1	1479
247	2	3589
248	2	1566
249	0	727
249	1	3662
250	2	3861
251	2	3827
252	2	4798
253	0	4030
253	1	4094
254	2	1360
255	2	3549
256	2	4247
257	2	623
258	0	1275
258	1	2236
259	0	4142
259	1	4574
260	0	4739
260	1	5027
261	0	1091
261	1	4094
262	0	4739
262	1	2334
263	0	4547
263	1	5027
264	0	1579
264	1	4491
265	2	4880
266	2	4195
267	2	833
268	0	2139
268	1	3807
269	0	1686
269	1	4845
270	2	300
271	2	789
272	0	2832
272	1	3662
273	2	3399
274	2	2113
275	0	3240
275	1	3144
276	2	1264
277	0	1375
277	1	4094
278	0	3240
278	1	1605
279	2	4246
280	2	3888
281	0	1275
281	1	1120
282	2	332
283	2	4525
284	0	4595
284	1	4491
285	0	3855
285	1	431
286	2	3971
287	0	2529
287	1	1245
288	2	2872
289	2	2991
290	0	1756
290	1	2334
291	0	1275
291	1	3854
292	2	4119
293	0	3225
293	1	1479
294	0	3240
294	1	1721
295	2	1248
296	0	1174
296	1	4094
297	2	916
298	0	4142
298	1	712
299	0	2449
299	1	579
300	2	691
301	2	3426
302	0	3240
302	1	3646
303	0	5114
303	1	2517
304	0	4142
304	1	5144
305	0	4739
305	1	849
306	2	5168
307	2	3291
308	2	6
309	2	1645
310	2	2610
311	2	1211
312	2	2748
313	0	2761
313	1	2707
314	0	3066
314	1	4491
315	0	3240
315	1	1889
316	2	4542
317	2	434
318	0	4142
318	1	431
319	0	2761
319	1	2587
320	0	4606
320	1	4764
321	0	3855
321	1	3242
322	0	969
322	1	4491
323	0	4142
323	1	1877
324	0	3225
324	1	146
325	2	4183
326	2	1447
327	0	993
327	1	4131
328	0	5114
328	1	1504
329	2	836
330	0	3240
330	1	1308
331	0	2636
331	1	4094
332	0	472
332	1	2236
333	0	1756
333	1	671
334	0	4595
334	1	5027
335	0	1756
335	1	596
336	0	1952
336	1	3241
337	0	2480
337	1	849
338	0	3225
338	1	4845
